ID,iso2c,iso3c,country,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,region,income,co2_percap
65,AF,AFG,Afghanistan,2004,916.3344748,57.875,24118979,45.778,56.4,South Asia,Low income,0.039377828
66,AF,AFG,Afghanistan,2007,1210.479265,59.694,26616792,42.86,52.3,South Asia,Low income,0.085417506
70,AF,AFG,Afghanistan,2005,1011.595524,58.5,25070798,44.91,55.1,South Asia,Low income,0.052948215
71,AF,AFG,Afghanistan,2008,1247.066144,60.243,27294031,41.697,50.9,South Asia,Low income,0.154101422
73,AF,AFG,Afghanistan,2003,922.8294492,57.25,23064851,46.556,57.7,South Asia,Low income,0.0518296
74,AF,AFG,Afghanistan,2011,1660.739856,61.666,29708599,38.016,46.5,South Asia,Low income,0.412016938
77,AF,AFG,Afghanistan,2014,1937.235365,62.895,32758020,34.836,42.4,South Asia,Low income,0.299444991
78,AF,AFG,Afghanistan,2012,1873.153946,62.086,30696958,36.863,45.1,South Asia,Low income,0.350370581
79,AF,AFG,Afghanistan,2013,1913.160644,62.494,31731688,35.797,43.7,South Asia,Low income,0.315601773
80,AF,AFG,Afghanistan,2009,1482.098837,60.754,28004331,40.474,49.4,South Asia,Low income,0.241722682
81,AF,AFG,Afghanistan,2010,1581.600836,61.226,28803167,39.232,48,South Asia,Low income,0.293836994
82,AG,ATG,Antigua and Barbuda,2006,20747.37559,74.727,90301,18.639,7,Latin America & Caribbean,Upper middle income,4.913644367
83,AG,ATG,Antigua and Barbuda,2007,22996.7058,74.905,91381,18.26,6.6,Latin America & Caribbean,Upper middle income,5.136472571
84,AG,ATG,Antigua and Barbuda,2012,19398.05948,75.733,96777,16.867,4.6,Latin America & Caribbean,Upper middle income,5.418446532
85,AG,ATG,Antigua and Barbuda,1990,10587.59341,71.351,66696,19.333,17.2,Latin America & Caribbean,Upper middle income,4.23352225
86,AG,ATG,Antigua and Barbuda,2005,18065.80503,74.544,89253,19.032,7.5,Latin America & Caribbean,Upper middle income,4.806998084
87,AG,ATG,Antigua and Barbuda,2009,20271.08635,75.247,93581,17.586,5.8,Latin America & Caribbean,Upper middle income,5.446757355
88,AG,ATG,Antigua and Barbuda,2010,18824.07315,75.412,94661,17.308,5.3,Latin America & Caribbean,Upper middle income,5.539567509
89,AG,ATG,Antigua and Barbuda,2011,18605.31675,75.574,95719,17.071,4.9,Latin America & Caribbean,Upper middle income,5.363407474
90,AG,ATG,Antigua and Barbuda,1994,12629.81895,72.218,71719,19.676,14.4,Latin America & Caribbean,Upper middle income,3.732497664
91,AG,ATG,Antigua and Barbuda,1991,11076.6797,71.567,67307,19.257,16.4,Latin America & Caribbean,Upper middle income,3.977164337
92,AG,ATG,Antigua and Barbuda,2008,23162.68576,75.078,92478,17.906,6.2,Latin America & Caribbean,Upper middle income,5.194500314
93,AG,ATG,Antigua and Barbuda,1992,11272.82532,71.783,68427,19.292,15.7,Latin America & Caribbean,Upper middle income,3.858476917
94,AG,ATG,Antigua and Barbuda,2004,16633.54441,74.354,88257,19.429,8,Latin America & Caribbean,Upper middle income,4.778147909
95,AG,ATG,Antigua and Barbuda,1995,12012.90695,72.44,73619,19.972,13.7,Latin America & Caribbean,Upper middle income,3.735788316
96,AG,ATG,Antigua and Barbuda,2013,19480.1026,75.892,97824,16.684,4.3,Latin America & Caribbean,Upper middle income,5.360453467
97,AG,ATG,Antigua and Barbuda,1996,12693.72321,72.663,75628,20.274,13,Latin America & Caribbean,Upper middle income,3.878986619
98,AG,ATG,Antigua and Barbuda,1997,13247.57454,72.887,77739,20.528,12.2,Latin America & Caribbean,Upper middle income,3.962335507
99,AG,ATG,Antigua and Barbuda,2003,15479.22181,74.158,87293,19.813,8.5,Latin America & Caribbean,Upper middle income,4.620874526
100,AG,ATG,Antigua and Barbuda,1998,13653.98211,73.108,79851,20.691,11.5,Latin America & Caribbean,Upper middle income,3.995303753
103,AG,ATG,Antigua and Barbuda,2002,14480.07994,73.957,86266,20.162,9.1,Latin America & Caribbean,Upper middle income,4.293313704
104,AG,ATG,Antigua and Barbuda,2014,20619.87137,76.05,98875,16.519,4.1,Latin America & Caribbean,Upper middle income,5.377648546
105,AG,ATG,Antigua and Barbuda,1993,11887.90244,71.999,69938,19.438,15,Latin America & Caribbean,Upper middle income,3.87997941
106,AG,ATG,Antigua and Barbuda,2001,14317.23852,73.752,85057,20.455,9.6,Latin America & Caribbean,Upper middle income,4.09566526
107,AG,ATG,Antigua and Barbuda,2000,14987.41103,73.541,83584,20.659,10.2,Latin America & Caribbean,Upper middle income,4.123971095
108,AG,ATG,Antigua and Barbuda,1999,14029.08709,73.327,81831,20.739,10.9,Latin America & Caribbean,Upper middle income,4.033068153
109,AL,ALB,Albania,1991,1992.560528,71.803,3266790,24.171,13.1,Europe & Central Asia,Upper middle income,1.3122126
110,AL,ALB,Albania,1993,2148.099954,71.86,3227287,22.68,12.8,Europe & Central Asia,Upper middle income,0.723790292
111,AL,ALB,Albania,2006,6631.835687,75.418,2992547,12.441,9.1,Europe & Central Asia,Upper middle income,1.302576367
112,AL,ALB,Albania,1992,1902.75128,71.802,3247039,23.46,12.9,Europe & Central Asia,Upper middle income,0.774724911
113,AL,ALB,Albania,2004,5522.982134,75.028,3026939,13.43,9.9,Europe & Central Asia,Upper middle income,1.376212735
114,AL,ALB,Albania,2005,5942.884009,75.217,3011487,12.875,9.5,Europe & Central Asia,Upper middle income,1.412498211
115,AL,ALB,Albania,1994,2390.531021,71.992,3207536,21.845,12.6,Europe & Central Asia,Upper middle income,0.600203708
116,AL,ALB,Albania,1990,2722.280344,71.836,3286542,24.789,13.4,Europe & Central Asia,Upper middle income,1.678106654
117,AL,ALB,Albania,2007,7291.239751,75.656,2970017,12.129,8.7,Europe & Central Asia,Upper middle income,1.322334855
118,AL,ALB,Albania,2003,5114.721695,74.82,3039616,14.082,10.3,Europe & Central Asia,Upper middle income,1.412697196
119,AL,ALB,Albania,1997,2838.04492,72.838,3148281,19.139,12.1,Europe & Central Asia,Upper middle income,0.49036506
120,AL,ALB,Albania,2008,8228.337106,75.943,2947314,11.933,8.4,Europe & Central Asia,Upper middle income,1.484311139
121,AL,ALB,Albania,2000,4029.016971,73.955,3089027,16.427,11.3,Europe & Central Asia,Upper middle income,0.978174681
122,AL,ALB,Albania,2002,4754.653697,74.575,3051010,14.809,10.7,Europe & Central Asia,Upper middle income,1.229540709
123,AL,ALB,Albania,2001,4457.111638,74.286,3060173,15.594,11,Europe & Central Asia,Upper middle income,1.053304176
124,AL,ALB,Albania,1998,3209.615372,73.208,3128530,18.212,11.8,Europe & Central Asia,Upper middle income,0.560271437
125,AL,ALB,Albania,2009,8813.252003,76.281,2927519,11.837,8,Europe & Central Asia,Upper middle income,1.495600199
127,AL,ALB,Albania,2010,9637.345368,76.652,2913021,11.819,7.7,Europe & Central Asia,Upper middle income,1.578573584
128,AL,ALB,Albania,2011,10207.7647,77.031,2905195,11.846,7.5,Europe & Central Asia,Upper middle income,1.803714725
129,AL,ALB,Albania,1999,3690.682981,73.588,3108778,17.303,11.6,Europe & Central Asia,Upper middle income,0.960164412
130,AL,ALB,Albania,2014,11259.2645,77.963,2889104,11.914,6.7,Europe & Central Asia,Upper middle income,1.978763312
132,AL,ALB,Albania,2012,10526.24122,77.389,2900401,11.888,7.2,Europe & Central Asia,Upper middle income,1.692908325
133,AL,ALB,Albania,2013,10570.953,77.702,2895092,11.916,6.9,Europe & Central Asia,Upper middle income,1.749211079
134,AL,ALB,Albania,1995,2782.093734,72.205,3187784,20.97,12.5,Europe & Central Asia,Upper middle income,0.654537133
135,AL,ALB,Albania,1996,3109.943347,72.495,3168033,20.064,12.3,Europe & Central Asia,Upper middle income,0.636625313
136,AM,ARM,Armenia,1996,1734.655302,69.404,3168215,14.947,18.8,Europe & Central Asia,Lower middle income,0.809046419
137,AM,ARM,Armenia,1993,1290.473115,68.218,3363098,18.41,20.9,Europe & Central Asia,Lower middle income,0.759983503
138,AM,ARM,Armenia,1998,2015.105575,70.434,3108684,13.457,17.3,Europe & Central Asia,Lower middle income,1.081692124
139,AM,ARM,Armenia,1999,2126.915169,70.944,3089017,13.062,16.6,Europe & Central Asia,Lower middle income,0.975803629
140,AM,ARM,Armenia,1997,1843.378545,69.912,3133086,14.092,18,Europe & Central Asia,Lower middle income,1.032302975
141,AM,ARM,Armenia,1995,1584.60047,68.938,3217342,15.991,19.5,Europe & Central Asia,Lower middle income,1.05997746
142,AM,ARM,Armenia,2001,2613.784567,71.8,3050655,12.989,15.3,Europe & Central Asia,Lower middle income,1.161167684
143,AM,ARM,Armenia,2008,7260.968756,72.946,2908220,15.026,11,Europe & Central Asia,Lower middle income,1.911537642
144,AM,ARM,Armenia,1994,1422.709776,68.538,3283660,17.172,20.2,Europe & Central Asia,Lower middle income,0.824155363
145,AM,ARM,Armenia,2007,6605.216696,72.815,2933056,14.855,11.6,Europe & Central Asia,Lower middle income,1.726570171
146,AM,ARM,Armenia,2003,3531.968643,72.347,3017806,13.555,14,Europe & Central Asia,Lower middle income,1.136138307
148,AM,ARM,Armenia,1992,1350.108251,67.99,3442810,19.627,21.6,Europe & Central Asia,Lower middle income,1.692473009
149,AM,ARM,Armenia,2000,2318.238073,71.409,3069588,12.912,15.9,Europe & Central Asia,Lower middle income,1.128918604
150,AM,ARM,Armenia,2002,3020.453987,72.112,3033897,13.226,14.7,Europe & Central Asia,Lower middle income,1.003201493
151,AM,ARM,Armenia,2010,6567.258582,73.331,2877311,15.065,10,Europe & Central Asia,Lower middle income,1.465621895
152,AM,ARM,Armenia,2009,6323.578336,73.119,2888584,15.099,10.5,Europe & Central Asia,Lower middle income,1.509411878
153,AM,ARM,Armenia,2006,5607.645869,72.715,2958500,14.605,12.2,Europe & Central Asia,Lower middle income,1.481177962
155,AM,ARM,Armenia,2004,4031.947204,72.512,3000612,13.926,13.4,Europe & Central Asia,Lower middle income,1.214751524
156,AM,ARM,Armenia,2005,4769.489004,72.625,2981259,14.289,12.8,Europe & Central Asia,Lower middle income,1.460030477
158,AM,ARM,Armenia,2013,7997.387128,74.044,2893509,14.446,8.6,Europe & Central Asia,Lower middle income,1.899711734
159,AM,ARM,Armenia,2014,8397.099178,74.255,2906220,14.141,8.1,Europe & Central Asia,Lower middle income,1.90275891
161,AM,ARM,Armenia,2011,7022.103943,73.571,2875581,14.928,9.5,Europe & Central Asia,Lower middle income,1.710070765
162,AM,ARM,Armenia,2012,7649.491409,73.814,2881922,14.713,9,Europe & Central Asia,Lower middle income,1.976060074
163,AO,AGO,Angola,2004,2985.598585,51.676,18865716,48.025,46.2,Sub-Saharan Africa,Lower middle income,0.996165478
164,AO,AGO,Angola,2003,2715.943441,50.508,18203369,48.285,47.7,Sub-Saharan Africa,Lower middle income,0.497975073
165,AO,AGO,Angola,2007,5128.361253,55.096,20997687,46.947,41.2,Sub-Saharan Africa,Lower middle income,1.197843982
166,AO,AGO,Angola,2008,5743.110048,56.189,21759420,46.459,39.5,Sub-Saharan Africa,Lower middle income,1.181526759
167,AO,AGO,Angola,2002,2620.889012,49.341,17572649,48.53,49.2,Sub-Saharan Africa,Lower middle income,0.720768849
168,AO,AGO,Angola,2006,4222.663033,53.974,20262399,47.37,42.8,Sub-Saharan Africa,Lower middle income,1.098883898
169,AO,AGO,Angola,2005,3516.402658,52.833,19552542,47.726,44.5,Sub-Saharan Africa,Lower middle income,0.979740026
170,AO,AGO,Angola,2001,2870.036714,48.2,16983266,48.773,50.4,Sub-Saharan Africa,Lower middle income,0.573047493
171,AO,AGO,Angola,1991,2811.287126,41.855,12553446,52.423,54.3,Sub-Saharan Africa,Lower middle income,0.405450105
173,AO,AGO,Angola,2010,5775.864013,58.192,23369131,45.314,36.5,Sub-Saharan Africa,Lower middle income,1.243405585
175,AO,AGO,Angola,2000,2781.25814,47.113,16440924,49.032,51.6,Sub-Saharan Africa,Lower middle income,0.580352661
176,AO,AGO,Angola,2009,5718.694408,57.231,22549547,45.91,38,Sub-Saharan Africa,Lower middle income,1.232494515
177,AO,AGO,Angola,1992,2591.326276,42.06,12968345,52.047,54.4,Sub-Saharan Africa,Lower middle income,0.400678653
178,AO,AGO,Angola,1993,1932.804031,42.329,13403734,51.641,54.4,Sub-Saharan Africa,Lower middle income,0.430889258
179,AO,AGO,Angola,2014,6594.677869,60.858,26920466,42.864,31.3,Sub-Saharan Africa,Lower middle income,1.291328315
180,AO,AGO,Angola,1990,2840.200763,41.696,12171441,52.749,54.3,Sub-Saharan Africa,Lower middle income,0.420284254
181,AO,AGO,Angola,2012,6109.136612,59.77,25096150,44.058,33.8,Sub-Saharan Africa,Lower middle income,1.330843018
182,AO,AGO,Angola,2013,6400.673376,60.373,25998340,43.446,32.5,Sub-Saharan Africa,Lower middle income,1.254617218
183,AO,AGO,Angola,1997,2541.712498,44.385,15088981,49.999,54,Sub-Saharan Africa,Lower middle income,0.489209377
184,AO,AGO,Angola,1994,1978.438032,42.677,13841301,51.216,54.5,Sub-Saharan Africa,Lower middle income,0.281092579
185,AO,AGO,Angola,2011,5911.254334,59.042,24218565,44.688,35.1,Sub-Saharan Africa,Lower middle income,1.252789255
186,AO,AGO,Angola,1996,2380.132838,43.695,14682284,50.383,54.4,Sub-Saharan Africa,Lower middle income,0.712306341
187,AO,AGO,Angola,1998,2670.62003,45.192,15504318,49.644,53.3,Sub-Saharan Africa,Lower middle income,0.47137391
188,AO,AGO,Angola,1999,2721.155559,46.105,15949766,49.322,52.5,Sub-Saharan Africa,Lower middle income,0.574083595
189,AO,AGO,Angola,1995,2162.917203,43.125,14268994,50.792,54.5,Sub-Saharan Africa,Lower middle income,0.769173426
190,AR,ARG,Argentina,1990,6990.554045,71.565,32729739,21.804,14.8,Latin America & Caribbean,Upper middle income,3.426481983
191,AR,ARG,Argentina,2001,11419.05887,74.039,37471509,19.302,11,Latin America & Caribbean,Upper middle income,3.568599866
193,AR,ARG,Argentina,2005,13817.71407,74.775,39145488,18.836,9.2,Latin America & Caribbean,Upper middle income,4.141236814
194,AR,ARG,Argentina,1999,11769.14997,73.618,36648068,19.55,11.3,Latin America & Caribbean,Upper middle income,4.010698763
195,AR,ARG,Argentina,2003,11217.57193,74.424,38309379,19.091,10.2,Latin America & Caribbean,Upper middle income,3.52558427
196,AR,ARG,Argentina,2004,12430.71372,74.603,38728696,18.97,9.7,Latin America & Caribbean,Upper middle income,4.06905838
198,AR,ARG,Argentina,2000,11810.06136,73.832,37057452,19.413,11.2,Latin America & Caribbean,Upper middle income,3.835573665
199,AR,ARG,Argentina,1998,12132.51039,73.397,36241590,19.727,11.5,Latin America & Caribbean,Upper middle income,3.857870916
200,AR,ARG,Argentina,1994,10342.47624,72.489,34558115,20.804,14,Latin America & Caribbean,Upper middle income,3.542095019
201,AR,ARG,Argentina,2006,15227.5125,74.941,39558890,18.695,8.7,Latin America & Caribbean,Upper middle income,4.434821452
202,AR,ARG,Argentina,2002,10217.2731,74.236,37889370,19.199,10.7,Latin America & Caribbean,Upper middle income,3.291547735
203,AR,ARG,Argentina,1993,9693.967279,72.256,34110917,21.097,14.4,Latin America & Caribbean,Upper middle income,3.457164549
204,AR,ARG,Argentina,2013,20161.49683,76.089,42539925,17.717,7.3,Latin America & Caribbean,Upper middle income,4.462903755
205,AR,ARG,Argentina,1995,10129.77779,72.719,34994814,20.501,13.4,Latin America & Caribbean,Upper middle income,3.656645582
206,AR,ARG,Argentina,2014,19802.10001,76.252,42981515,17.547,7,Latin America & Caribbean,Upper middle income,4.746797455
207,AR,ARG,Argentina,1997,11688.7464,73.173,35833969,19.948,12,Latin America & Caribbean,Upper middle income,3.851202695
208,AR,ARG,Argentina,2008,17711.44179,75.268,40382389,18.417,8.1,Latin America & Caribbean,Upper middle income,4.682912395
209,AR,ARG,Argentina,2009,16618.12085,75.431,40799407,18.285,7.8,Latin America & Caribbean,Upper middle income,4.410889894
210,AR,ARG,Argentina,1996,10754.19842,72.947,35419682,20.21,12.6,Latin America & Caribbean,Upper middle income,3.811457285
211,AR,ARG,Argentina,2007,16865.54476,75.105,39970224,18.553,8.3,Latin America & Caribbean,Upper middle income,4.382668884
212,AR,ARG,Argentina,2012,19579.00648,75.926,42096739,17.875,7.4,Latin America & Caribbean,Upper middle income,4.569383676
213,AR,ARG,Argentina,2010,18333.5437,75.595,41223889,18.154,7.6,Latin America & Caribbean,Upper middle income,4.558499612
214,AR,ARG,Argentina,2011,19629.35185,75.761,41656879,18.019,7.5,Latin America & Caribbean,Upper middle income,4.600290699
215,AR,ARG,Argentina,1991,8024.592354,71.79,33193918,21.603,14.6,Latin America & Caribbean,Upper middle income,3.52770381
216,AR,ARG,Argentina,1992,9061.645587,72.023,33655151,21.366,14.5,Latin America & Caribbean,Upper middle income,3.605749117
244,AT,AUT,Austria,2004,33755.14293,79.1804878,8171966,9.7,2.9,Europe & Central Asia,High income,8.858363703
245,AT,AUT,Austria,2003,32106.466,78.63170732,8121423,9.5,3,Europe & Central Asia,High income,8.889562334
246,AT,AUT,Austria,2007,39385.74227,80.1804878,8295487,9.2,2.7,Europe & Central Asia,High income,8.406418936
247,AT,AUT,Austria,2010,42047.03268,80.5804878,8363404,9.4,2.5,Europe & Central Asia,High income,8.071131802
248,AT,AUT,Austria,1991,20585.15301,75.61707317,7754891,12.2,4.4,Europe & Central Asia,High income,7.944096184
249,AT,AUT,Austria,2008,41316.22518,80.43170732,8321496,9.3,2.6,Europe & Central Asia,High income,8.295095978
250,AT,AUT,Austria,2009,40919.15058,80.33170732,8343323,9.2,2.6,Europe & Central Asia,High income,7.518751102
251,AT,AUT,Austria,1992,21259.90972,75.81707317,7840709,12.2,4.2,Europe & Central Asia,High income,7.226236428
252,AT,AUT,Austria,2001,29739.94153,78.57560976,8042293,9.4,3.1,Europe & Central Asia,High income,8.192769898
253,AT,AUT,Austria,2002,31178.69333,78.67804878,8081957,9.7,3,Europe & Central Asia,High income,8.299115796
254,AT,AUT,Austria,2005,35013.71404,79.33170732,8227829,9.5,2.8,Europe & Central Asia,High income,9.020169598
255,AT,AUT,Austria,2006,37627.97092,79.8804878,8268641,9.4,2.8,Europe & Central Asia,High income,8.727297872
256,AT,AUT,Austria,1993,21700.71336,76.06829268,7905633,12,4,Europe & Central Asia,High income,7.223017309
257,AT,AUT,Austria,2011,44452.73275,80.98292683,8391643,9.3,2.5,Europe & Central Asia,High income,7.748134305
258,AT,AUT,Austria,2012,46457.34578,80.93658537,8429991,9.4,2.4,Europe & Central Asia,High income,7.387077163
261,AT,AUT,Austria,2000,29375.4048,78.12682927,8011566,9.8,3.1,Europe & Central Asia,High income,7.774259739
262,AT,AUT,Austria,1990,19452.46636,75.56829268,7677850,11.8,4.6,Europe & Central Asia,High income,7.513246156
263,AT,AUT,Austria,2014,48814.79955,81.4902439,8541575,9.6,2.3,Europe & Central Asia,High income,6.86986793
264,AT,AUT,Austria,1996,24523.88346,76.87073171,7959017,11.2,3.4,Europe & Central Asia,High income,7.938008299
265,AT,AUT,Austria,1999,27606.48303,77.87560976,7992324,9.8,3.1,Europe & Central Asia,High income,7.741130615
266,AT,AUT,Austria,2013,47924.58104,81.13658537,8479375,9.4,2.3,Europe & Central Asia,High income,7.368748145
267,AT,AUT,Austria,1994,22607.7419,76.4195122,7936118,11.6,3.7,Europe & Central Asia,High income,7.189264701
268,AT,AUT,Austria,1995,23658.77108,76.66829268,7948278,11.2,3.5,Europe & Central Asia,High income,7.521516107
269,AT,AUT,Austria,1997,25412.3676,77.3195122,7968041,10.5,3.2,Europe & Central Asia,High income,7.863667996
270,AT,AUT,Austria,1998,26652.83157,77.67073171,7976789,10.2,3.2,Europe & Central Asia,High income,7.981004261
271,AU,AUS,Australia,2004,31384.58209,80.4902439,20127400,12.3,3.3,East Asia & Pacific,High income,17.02651535
272,AU,AUS,Australia,1994,20132.72092,77.87804878,17855000,14.5,3.9,East Asia & Pacific,High income,15.57658628
273,AU,AUS,Australia,2007,36589.72504,81.29268293,20827600,14.1,3.1,East Asia & Pacific,High income,17.86526004
274,AU,AUS,Australia,1992,18233.34072,77.37804878,17495000,15.1,4.2,East Asia & Pacific,High income,15.31776851
275,AU,AUS,Australia,2008,37506.90682,81.39512195,21249200,14,3,East Asia & Pacific,High income,18.16087566
276,AU,AUS,Australia,1993,19172.89277,77.87804878,17667000,14.7,4,East Asia & Pacific,High income,15.7014518
277,AU,AUS,Australia,1996,22045.73606,78.07804878,18311000,13.9,3.7,East Asia & Pacific,High income,16.50180039
278,AU,AUS,Australia,1991,17827.74921,77.27560976,17284000,14.9,4.4,East Asia & Pacific,High income,15.12796621
279,AU,AUS,Australia,2006,34385.61541,81.04146341,20697900,12.9,3.2,East Asia & Pacific,High income,17.65139831
280,AU,AUS,Australia,1995,20957.03537,77.82926829,18072000,14.2,3.7,East Asia & Pacific,High income,15.59651881
281,AU,AUS,Australia,1999,25299.35977,78.93170732,18926000,13.1,3.5,East Asia & Pacific,High income,17.19029769
282,AU,AUS,Australia,2000,26343.07133,79.23414634,19153000,13,3.5,East Asia & Pacific,High income,17.20060983
283,AU,AUS,Australia,1990,17371.26114,76.99463415,17065100,15.4,4.6,East Asia & Pacific,High income,15.45288167
284,AU,AUS,Australia,2005,32591.80935,80.84146341,20394800,12.8,3.3,East Asia & Pacific,High income,17.16971145
286,AU,AUS,Australia,2011,41782.28494,81.89512195,22340024,13.6,2.6,East Asia & Pacific,High income,17.53887776
287,AU,AUS,Australia,2001,27397.6614,79.63414634,19413000,12.7,3.5,East Asia & Pacific,High income,16.73336743
289,AU,AUS,Australia,2010,39227.26854,81.69512195,22031750,13.7,2.8,East Asia & Pacific,High income,17.74084505
290,AU,AUS,Australia,2003,29714.03848,80.23902439,19895400,12.6,3.4,East Asia & Pacific,High income,16.90195895
291,AU,AUS,Australia,2012,42589.5008,82.04634146,22742475,13.7,2.5,East Asia & Pacific,High income,17.06614082
292,AU,AUS,Australia,2009,40265.68963,81.54390244,21691700,13.9,2.9,East Asia & Pacific,High income,18.20018196
293,AU,AUS,Australia,2002,28717.2892,79.93658537,19651400,12.8,3.4,East Asia & Pacific,High income,17.37045177
294,AU,AUS,Australia,1997,23004.83484,78.4804878,18517000,13.6,3.6,East Asia & Pacific,High income,16.51427321
295,AU,AUS,Australia,1998,24229.38043,78.63170732,18711000,13.3,3.6,East Asia & Pacific,High income,16.93569585
296,AU,AUS,Australia,2013,45604.73398,82.14878049,23145901,13.3,2.4,East Asia & Pacific,High income,16.08347439
297,AU,AUS,Australia,2014,46571.85698,82.3,23504138,13.2,2.4,East Asia & Pacific,High income,15.37013776
325,AZ,AZE,Azerbaijan,2011,15754.15236,71.26,9173082,19.2,21.2,Europe & Central Asia,Upper middle income,3.646179877
326,AZ,AZE,Azerbaijan,2010,15627.60562,70.987,9054332,18.3,21.9,Europe & Central Asia,Upper middle income,3.388225879
328,AZ,AZE,Azerbaijan,1996,2471.585879,65.573,7763000,16.6,37.3,Europe & Central Asia,Upper middle income,4.026472755
329,AZ,AZE,Azerbaijan,2007,12477.38469,69.774,8581300,17.7,24.8,Europe & Central Asia,Upper middle income,3.5553401
330,AZ,AZE,Azerbaijan,2014,17608.37063,71.8,9535079,17.9,19.2,Europe & Central Asia,Upper middle income,3.931560609
332,AZ,AZE,Azerbaijan,1994,2719.340227,64.991,7597000,21.4,36.3,Europe & Central Asia,Upper middle income,5.525358563
333,AZ,AZE,Azerbaijan,1992,4334.433664,64.731,7382000,25.2,34.1,Europe & Central Asia,Upper middle income,7.61863709
334,AZ,AZE,Azerbaijan,2009,14900.50866,70.646,8947243,17,22.8,Europe & Central Asia,Upper middle income,3.565668218
335,AZ,AZE,Azerbaijan,1995,2420.444864,65.256,7685000,18.9,37,Europe & Central Asia,Upper middle income,4.337414444
336,AZ,AZE,Azerbaijan,2005,7169.150431,68.75,8391850,16.9,27.2,Europe & Central Asia,Upper middle income,4.091801927
337,AZ,AZE,Azerbaijan,2008,13799.78614,70.238,8763400,17.4,23.8,Europe & Central Asia,Upper middle income,4.051383481
339,AZ,AZE,Azerbaijan,2013,17171.76137,71.656,9416801,18.3,19.8,Europe & Central Asia,Upper middle income,3.785068836
340,AZ,AZE,Azerbaijan,2012,16180.88715,71.478,9295784,18.8,20.5,Europe & Central Asia,Upper middle income,3.82487717
341,AZ,AZE,Azerbaijan,1998,2901.351672,66.207,7913000,15.7,36.7,Europe & Central Asia,Upper middle income,4.00297561
